,counter_id,daily_range_high,daily_range_low,ticker,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time,name
210,3,659.88,659.86,FDHB,0,659.87,659.99,659.87,104412,4.73,0.72,1.63,61.49,46.75,4553783.49,74063,6901031250,9/1/2025,14:34:35,FDH BANK PLC
211,4,,,FMBCH,1650.4,0,1650.4,1650.4,0,3.64,0.22,2.91,34.31,12.33,4057095.8,118254.74,2458250000,9/1/2025,14:34:35,FMB CAPITAL HOLDINGS PLC
212,5,,,ICON,0,17.95,17.95,17.95,0,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,9/1/2025,14:34:35,ICON PROPERTIES PLC
213,6,1791.4,1791.4,ILLOVO,1791.4,0,1791.4,1791.4,3500,5,0.28,1.77,56.47,8.59,1278064.28,22632,713444391,9/1/2025,14:34:35,ILLOVO SUGAR MALAWI PLC
214,7,,,MPICO,19.51,0,19.51,19.51,0,0.43,2.2,19.05,5.25,0.69,44834.91,8540.17,2298047460,9/1/2025,14:34:35,MALAWI PROPERTY INVESTMENT COMPANY PLC
215,8,7501.02,7501.02,NBM,7501.02,0,7501.02,7501.02,210,126.35,1.68,2.92,34.24,13.05,3502464.31,102283,466931738,9/1/2025,14:34:35,NATIONAL BANK OF MALAWI
216,9,1024.93,1024.89,NBS,920,1024.91,1024.94,1024.9,134735,10.9,1.06,2.45,40.87,26.61,2983046.63,72991,2910573356,9/1/2025,14:34:35,NBS BANK PLC
217,10,1740.02,1740.01,NICO,1740.01,0,1740.01,1740.01,29891,20,1.15,3.97,25.2,11.66,1814901.94,72009,1043041096,9/1/2025,14:34:35,NICO HOLDINGS PLC
218,11,1266.01,1266,NITL,1266,1454,1265.04,1266.01,5000,11.1,0.88,17.41,5.74,2.32,170911.35,29759.48,135000000,9/1/2025,14:34:35,NATIONAL INVESTMENT TRUST PLC
219,12,,,OMU,,,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/1/2025,14:34:35,OLD MUTUAL LIMITED
220,13,6600,6600,PCL,0,6600,6600,6600,8,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/1/2025,14:34:35,PRESS CORPORATION PLC
221,14,6499,6498.25,STANDARD,0,6498.25,6499.09,6498.58,40109,161.93,2.49,1.13,88.29,29.35,7625049.12,86365,1173340810,9/1/2025,14:34:35,STANDARD BANK MALAWI PLC
222,15,460.02,460.02,SUNBIRD,460.02,0,460.01,460.02,87,13,2.83,8.83,11.33,1.72,120333.22,10624.63,261582580,9/1/2025,14:34:35,SUNBIRD TOURISM PLC
223,16,35.9,35.86,TNM,0,35.89,35.79,35.88,357045,0,0,2.43,41.16,7.98,414098.27,10060,11541200375,9/1/2025,14:34:35,TELEKOM NETWORKS MALAWI PLC
224,1,139.2,139.18,AIRTEL,0,139.18,139.2,139.18,23127,2,1.44,2.79,35.84,47.67,1530980,42722.11,11000000000,8/29/2025,14:44:53,AIRTEL MALAWI PLC
225,2,,,BHL,15,0,15,15,0,0,0,-1.55,-64.36,1.36,88173.82,-1370.11,5878254935,8/29/2025,14:44:53,BLANTYRE HOTELS PLC
226,3,675.45,659.9,FDHB,0,659.89,676.83,659.99,146224,4.73,0.72,1.63,61.5,46.76,4554611.61,74063,6901031250,8/29/2025,14:44:53,FDH BANK PLC
227,4,1700,1650.01,FMBCH,1650.03,0,1650.01,1650.4,3909677,3.64,0.22,2.91,34.31,12.33,4057095.8,118254.74,2458250000,8/29/2025,14:44:53,FMB CAPITAL HOLDINGS PLC
228,5,17.95,17.95,ICON,0,17.95,17.95,17.95,30454,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,8/29/2025,14:44:53,ICON PROPERTIES PLC
229,6,1791.4,1791.4,ILLOVO,1791.4,0,1791.4,1791.4,2017,5,0.28,1.77,56.47,8.59,1278064.28,22632,713444391,8/29/2025,14:44:53,ILLOVO SUGAR MALAWI PLC
230,7,19.51,19.51,MPICO,19.51,0,19.51,19.51,3585,0.43,2.2,19.05,5.25,0.69,44834.91,8540.17,2298047460,8/29/2025,14:44:53,MALAWI PROPERTY INVESTMENT COMPANY PLC
231,8,7501.02,7501.01,NBM,7501.02,0,7495.05,7501.02,33126,126.35,1.68,2.92,34.24,13.05,3502464.31,102283,466931738,8/29/2025,14:44:53,NATIONAL BANK OF MALAWI
232,9,1024.95,1024.93,NBS,930.06,1024.93,1024.98,1024.94,230451,10.9,1.06,2.45,40.87,26.61,2983163.06,72991,2910573356,8/29/2025,14:44:53,NBS BANK PLC
233,10,1740.01,1740,NICO,1514.17,1740.01,1514.18,1740.01,170602,20,1.15,3.97,25.2,11.66,1814901.94,72009,1043041096,8/29/2025,14:44:53,NICO HOLDINGS PLC
234,11,,,NITL,1265.05,0,1265.04,1265.04,0,11.1,0.88,17.43,5.74,2.32,170780.4,29759.48,135000000,8/29/2025,14:44:53,NATIONAL INVESTMENT TRUST PLC
235,12,2500.06,2500.06,OMU,2500.06,0,2500.06,2500.06,4167,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,8/29/2025,14:44:53,OLD MUTUAL LIMITED
236,13,6600.01,6600,PCL,0,6600,6600,6600,116170,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,8/29/2025,14:44:53,PRESS CORPORATION PLC
237,14,6499.1,6499.09,STANDARD,0,6499,6499.44,6499.09,5445,161.93,2.49,1.13,88.3,29.35,7625647.52,86365,1173340810,8/29/2025,14:44:53,STANDARD BANK MALAWI PLC
238,15,,,SUNBIRD,460.01,0,460.01,460.01,0,13,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580,8/29/2025,14:44:53,SUNBIRD TOURISM PLC
239,16,35.94,35.67,TNM,0,35.9,35.9,35.79,572966,0,0,2.44,41.06,7.96,413059.56,10060,11541200375,8/29/2025,14:44:53,TELEKOM NETWORKS MALAWI PLC
240,1,139.2,139.19,AIRTEL,0,139.2,139.2,139.2,16292,2,1.44,2.79,35.84,47.68,1531200,42722.11,11000000000,8/28/2025,14:46:53,AIRTEL MALAWI PLC
241,2,,,BHL,15,0,15,15,0,0,0,-1.55,-64.36,1.36,88173.82,-1370.11,5878254935,8/28/2025,14:46:53,BLANTYRE HOTELS PLC
